,f,chi2,MATTE,NB,M3,HV,zscore,ENT
KCNA7,2.703755123,0.002103512,0.144431055,,,,4203.529570735287,-42.81152529670278
SNRNP70,7.248013282,0.006565867,0.594701006,,,,209.9565781249632,-55.80739984351733
CLPTM1,5.966653601,0.004992508,0.228310144,,,,-5185.286195378826,-54.2715110774729
RELB,37.07073734,0.034231226,1.626223153,,,,-22131.844159927357,-70.37371324901355
CLASRP,7.76563998,0.007607331,0.221051235,,,,-709.330227806386,-52.67048219795046
LIN7B,5.500395619,0.003057347,0.067904321,,,,-10470.56069116258,-46.627456859842496
PPP1R37,3.68418954,0.002766952,0.085050574,,,,-16783.774605280207,-88.84555780443837
FCGRT,431.8063769,0.40279191,1.745379901,,-0.005007462,,7158.698116421488,-37.83612847250638
PIH1D1,9.885407192,0.00595547,0.988252514,,,,1135.345379109801,-47.56300615014592
CKM,2.937691116,0.000669005,0.0,-4.24e-07,,,-3781.265834630476,-13.321489994538524
ARHGEF18,0.750613293,0.00062221,0.0,-2.89e-21,,,-363896.7619917543,-228.20160393483596
PPP1R13L,6.685544079,0.006793576,0.081957241,,,,-4307.412918564708,-58.00147376032868
PEX11G,5.000337054,0.002241724,0.084370368,-1.06e-15,,,-1735.7376328294386,-29.570246967125335
ERCC2,3.474450017,0.00238342,0.027300469,-4.22e-13,,,-3073.112147913659,-30.671173142520203
DOT1L,7.241259379,0.005078908,0.32891632,,,,1477.0492386668705,-46.921103418487405
PLEKHJ1,4.166099334,0.00295992,0.285600236,,,,1332.4440978234163,-46.80431989410799
SLC17A7,1.921073413,0.0029127,0.036756678,,,0.0,-2847.0377131896475,-51.73705708936411
RNASEH2A,7.211838833,0.004803834,0.327318966,,,,-85220.8396584547,-68.98554527296558
KLC3,2.968244933,0.001182329,0.015383804,,,,-60012.539731593875,-120.13898533603746
CD37,1169.774268,1.102823833,3.458400756,,,,-5561.94227756198,-29.942699105844202
SF3A2,4.482974113,0.003894383,0.522340698,,,,2193.3224114848044,-49.921106897804
AMH,0.139351345,2.96e-05,0.0,,,,3408.3746763307217,-3.2012693701345505
DKKL1,6.064484636,0.001310277,0.0,,,,-321.9395640400267,-0.8877103304208178
LYL1,97.90496659,0.140707403,1.125104565,,,0.0,-876.2334778197092,-45.51723456648801
OAZ1,2664.304434,6.102325171,4.474869324,,-2.05e-18,0.0,32605.48615444994,22.02163649452446
TRMT1,27.65001721,0.022274388,0.238112214,,,,-5441.202364286932,-43.471207952254574
STX10,40.12552145,0.029652535,0.910233196,,,,-157368.86287360854,-122.2064349776226
RETN,66.53535315,0.070184933,0.139199885,,,,1118.2806136384174,-40.767770177182804
FCER2,377.3965835,0.289679934,2.148018123,-0.000261659,,,1279.1232289522573,-32.092159761168276
DMPK,1.141187024,0.001357751,0.062837117,,,0.0,-9355.163508398822,-48.147539473763956
